Beyoncé,RENAISSANCE,THIQUE,"She thought she was killing that shit, I told her, ""Go harder""",4,2022
Beyoncé,Dangerously in Love,Speechless,Waited for you to use the key,6,2003
Taylor Swift,Taylor Swift,The Outside,"When I went looking for a reason, I know",2,2006
Drake,For All The Dogs,Fear Of Heights,"Ayy, ayy, look",0,2023
Drake,Take Care,The Motto,"Twenty-five, sitting on twenty-five mil', uh",9,2011
Taylor Swift,Taylor Swift,Our Song,And he says,9,2006
Taylor Swift,Red,The Last Time (Ft. Gary Lightbody),"This is the last time I'm asking you, last time I'm asking you",57,2012
Drake,Scorpion,Sandra’s Rose,"Head on a swivel, I could shoot but I could never dribble",22,2018
Beyoncé,Dangerously in Love,Naughty Girl,I see you look me up and down,22,2004
Beyoncé,RENAISSANCE,I’M THAT GIRL,Touching everything in my plain view,41,2022
Taylor Swift,Red,The Moment I Knew,In red lipstick,51,2012
Taylor Swift,Fearless,White Horse,I was a dreamer before you went and let me down,22,2008
Taylor Swift,Lover,Death by a Thousand Cuts,I look through the windows of this love,12,2019
Taylor Swift,Speak Now,Enchanted,All I know is I was,33,2010
Beyoncé,RENAISSANCE,ALIEN SUPERSTAR,Then I come down and take off again (Unique),34,2022
Beyoncé,RENAISSANCE,ALL UP IN YOUR MIND,"Is my love a crime? 'Cause I wanna make you mine (You're mine, you're mine)",17,2022
Drake,Scorpion,Is There More,And they don't wanna see that you smilin' from inside,10,2018
Drake,"Honestly, Nevermind",Jimmy Cooks,Dread talkin' to you niggas like I'm J. Cole,21,2022
Drake,Take Care,Marvins Room,That I'ma call her anyway and say,20,2011
Taylor Swift,Red,Girl at Home,"And everybody knows that, everybody knows that",15,2012
Beyoncé,I Am... Sasha Fierce,Diva,"I done got so sick and filthy with Benjis, I can't spend it",11,2009
Drake,Certified Lover Boy,Fucking Fans,"My girl, my lil' baby speechless",18,2021
Beyoncé,Dangerously in Love,That’s How You Like It,"That's how you like it, huh",4,2003
Taylor Swift,reputation,This Is Why We Can't Have Nice Things,I had to take them away,47,2017
Drake,For All The Dogs,Tried Our Best,"Oh, oh",0,2023
Taylor Swift,evermore (deluxe version),evermore,I had a feeling so peculiar,28,2020
Taylor Swift,1989,Out of the Woods,(Are we in the clear yet? Are we in the clear yet?),52,2014
Beyoncé,Dangerously in Love,Crazy in Love,"It's your boy, Young",6,2003
Drake,Take Care,Cameras,"Only on camera, only on camera",24,2011
Drake,Certified Lover Boy,Race My Mind,"Wouldn't even talk to me, no",9,2021
Taylor Swift,Lover,Miss Americana and The Heartbreak Prince,Voted most likely to run away with you,19,2019
Drake,Certified Lover Boy,Way 2 Sexy,"Too sexy for that jack, yeah, yeah",19,2021
Drake,Nothing Was the Same,Tuscan Leather,"Hot temper, scary outcome",20,2013
Taylor Swift,1989,Welcome to New York,Everybody here was someone else before,25,2014
Taylor Swift,Red,The Last Time (Ft. Gary Lightbody),This is the last time I'm asking you this,44,2012
Drake,Certified Lover Boy,Get Along Better,Based on the way you apologized,14,2021
Taylor Swift,Taylor Swift,I'm Only Me When I'm With You,When I'm with anybody else it's so hard to be myself,29,2006
Drake,Scorpion,God’s Plan,"And wishin' and wishin', they wishin' on me",21,2018
Drake,Take Care,The Real Her,"If I ignore all that advice, then something isn't right",18,2011
Drake,For All The Dogs,Polar Opposites,It's plenty people dead to me still breathing,29,2023
Taylor Swift,Taylor Swift,Invisible,We could be a beautiful,27,2006
Drake,Take Care,The Motto (Remix),"I'm the fuckin' man, y'all don't get it, do ya?",0,2011
Taylor Swift,Taylor Swift,Tied Together With A Smile,That you might,43,2006
Taylor Swift,Lover,It's Nice to Have a Friend,Ooh,1,2019
Beyoncé,RENAISSANCE,CHURCH GIRL,(,0,2022
Beyoncé,4,Countdown,There's ups and downs in this love,16,2011
Drake,Thank Me Later,Cece’s Interlude,Won't even give me a chance,14,2010
Beyoncé,B’Day,Suga Mama,"Now, take it off while I watch you perform",27,2006
Drake,Views,Hotline Bling,Yeah,2,2015
Taylor Swift,folklore (deluxe version),cardigan,Dancin' in your Levi's,8,2020
Taylor Swift,Fearless,You Belong With Me,"I'm in the room, it's a typical Tuesday night",4,2008
Taylor Swift,Lover,False God,Still worship this love,45,2019
Taylor Swift,Lover,The Archer,All the king's horses,47,2019
Taylor Swift,Speak Now,The Story of Us,And you're doing your best to avoid me,21,2010
Drake,"Honestly, Nevermind",Falling Back,Holding me back,6,2022
Taylor Swift,1989,New Romantics,Baby we're the new romantics,37,2014
Taylor Swift,1989,Shake It Off,"I shake it off,  I shake it off",36,2014
Taylor Swift,Red,I Knew You Were Trouble,"Oh, oh",17,2012
Beyoncé,Dangerously in Love,"Me, Myself and I","Next thing I know, I'm dealing with your three kids in my home",28,2003
Taylor Swift,Taylor Swift,Invisible,She's never going to love you like I want to,24,2006
Beyoncé,BEYONCÉ,***Flawless,Your challengers are a young group from Houston,2,2013
Drake,Nothing Was the Same,Started from the Bottom,"Started from the bottom, now my whole team fuckin' here",19,2013
Taylor Swift,reputation,King of My Heart,"Ooh whoa, ooh whoa (ooh whoa)",54,2017
Taylor Swift,Lover,London Boy,"Darling, I fancy you",26,2019
Taylor Swift,reputation,So It Goes...,See you in the dark,1,2017
Beyoncé,RENAISSANCE,ALIEN SUPERSTAR,Look over my shoulder and you ain't scared,36,2022
Taylor Swift,1989,Wildest Dreams,"Drive out of this city, away from the crowds""",2,2014
Beyoncé,4,1+1,When my days look low,26,2011
Beyoncé,RENAISSANCE,COZY,Green eyes envy me,36,2022
Taylor Swift,folklore (deluxe version),illicit affairs,They show their truth one single time,24,2020
Taylor Swift,1989,I Know Places,And they'll be chasing their tails trying to track us down,14,2014
Beyoncé,B’Day,Ring the Alarm,If I let you go,36,2006
Drake,Views,Weston Road Flows,"Weston Road flows, my confidence level gettin' settled",58,2016
Beyoncé,BEYONCÉ,Pretty Hurts,"Brush your hair, fix your teeth",11,2013
Taylor Swift,Red,22,"To fall in love with strangers, uh uh, uh uh",4,2012
Taylor Swift,Red,Come Back... Be Here,I don't wanna miss you like this,36,2012
Taylor Swift,Speak Now,Enchanted,Across the room your silhouette,9,2010
Taylor Swift,folklore (deluxe version),mad woman,And you'll poke that bear 'til her claws come out,33,2020
Beyoncé,Dangerously in Love,Baby Boy,"Yes, no, hurt me so good, baby, oh (",31,2003
Taylor Swift,Lover,I Think He Knows,"I want you, bless my",38,2019
Taylor Swift,Lover,Afterglow,"It's on your face, and I'm to blame, I need to say",7,2019
Taylor Swift,1989,Shake It Off,"Shake it off, I shake it off",61,2014
Taylor Swift,Lover,False God,They say the road gets hard and you get lost,33,2019
Taylor Swift,Speak Now,Haunted,Never ever thought I'd see it break,50,2010
Drake,For All The Dogs,Slime You Out,Whipped and chained you like American slaves,15,2023
Taylor Swift,Taylor Swift,Tim McGraw,And there's a letter left on your doorstep,39,2006
Beyoncé,4,I Miss You,A feeling,23,2011
Drake,For All The Dogs,Away From Home,I remember,8,2023
Taylor Swift,Lover,The Archer,I've been the archer,34,2019
Drake,"Honestly, Nevermind",Overdrive,"With you beside me, I become unraveled",10,2022
Drake,Scorpion,March 14,Here we go,0,2018
Drake,Certified Lover Boy,Way 2 Sexy,"Oh, you like the boy? Well, tell me what you like about him",30,2021
Beyoncé,B’Day,Resentment,Lovin' you was easy once upon a time,3,2006
Beyoncé,BEYONCÉ,***Flawless,"Because I am female, I am expected to aspire to marriage",43,2013
Drake,Scorpion,Nice For What,You back in,6,2018
Taylor Swift,Fearless,Tell Me Why,I'm sick and tired of your reasons,38,2008
Drake,Scorpion,God’s Plan,And they wishin' and wishin',0,2018
Taylor Swift,folklore (deluxe version),mad woman,You made her like that,15,2020
Taylor Swift,Taylor Swift,A Place In This World,"Oh, I'm just a girl, trying to find a place in this world",9,2006
